date,open,high,low,close,volume,ticker,return,short_term_return_3,sma_10,sma_20,ema_50,volatility_10,open_sector,high_sector,low_sector,sector_close,volume_sector,return_sector,short_term_return_3_sector,sector_sma_10,sector_sma_20,ema_50_sector,sector_volatility_10,sector_return_1d,vix_level,vix_change_1d,vix_ma_10,vix_zscore_10,pe_ratio,eps,revenue_growth,debt_to_equity,roe,future_return_3d,sector,used_fallback,news_sentiment,sentiment_quality,pct_pred_xgboost,pct_pred_lightgbm,pct_pred_catboost,pct_pred_ensemble,pct_pred,direction,confidence,label,price_1d,price_3d,price_5d
2025-05-19,208.025,209.48,204.26,208.71,31188449,AAPL,-0.012023668639053242,-0.017048933264258492,205.824,206.58200000000002,210.62594332740153,0.021175115570059206,231.42,235.075,231.42,234.475,4678287.0,-0.0017667844522968323,0.0014735403408363545,226.32150000000001,216.99675000000002,215.51909229203005,0.015614170851426619,-0.0017667844522968323,17.94,0.04060324825986106,20.092999999999996,-0.7766216703635181,0.0,0.0,0.0,0.0,0.0,-0.017048933264258492,,False,0.16197,Fresh,-0.4563701,-0.12073785476831474,-0.7083292697682417,-0.4565212593015918,-0.4565212593015918,Down,0.1,Avoid,207.75719447971167,205.86461286083667,203.98927187323358
2025-05-19,450.875,459.585,450.875,458.61,12809922,MSFT,0.009553789596495443,0.012518214333024247,446.091,422.929,411.14453884434346,0.00854791636060354,231.42,235.075,231.42,234.475,4678287.0,-0.0017667844522968323,0.0014735403408363545,226.32150000000001,216.99675000000002,215.51909229203005,0.015614170851426619,-0.0017667844522968323,17.94,0.04060324825986106,20.092999999999996,-0.7766216703635181,0.0,0.0,0.0,0.0,0.0,0.012518214333024247,,False,0.5282941176470588,Fresh,0.12652242,0.17707513605025949,0.29156031216619865,0.1266214515090313,0.1266214515090313,Up,0.5,Buy,459.1906986387656,460.3543027144663,461.5208554005135
2025-05-19,164.51,166.07,164.22,165.9,22358879,GOOGL,-0.0017449906733256748,0.0032049343895506066,160.105,159.911,162.321879334592,0.03125758640678431,100.67,101.875,100.67,101.64,3008117.0,-0.0013755158184318717,0.009434899195550628,99.451,97.081,96.80049384277255,0.007387071144658822,-0.0013755158184318717,17.94,0.04060324825986106,20.092999999999996,-0.7766216703635181,0.0,0.0,0.0,0.0,0.0,0.0032049343895506066,,False,0.5810428571428571,Fresh,0.8190537,0.6501797654411713,0.6727847759110799,0.8189659400763621,0.8189659400763621,Up,0.95,Buy,167.25866449458667,170.00946560844739,172.80550746837582
2025-05-19,201.645,206.62,201.26,206.045,22361425,AMZN,0.0022131426625808803,-0.020000000000000018,200.5925,193.06375,195.63439459958312,0.0279132635539301,214.13,217.525,213.68,217.02,2388331.0,-0.0029861717278447664,0.0042108185646199114,209.467,202.79649999999998,203.02471621619182,0.016023691424851164,-0.0029861717278447664,17.94,0.04060324825986106,20.092999999999996,-0.7766216703635181,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,,False,0.4334692307692307,Fresh,-0.0031904166,-0.07178781293030921,-0.4027357193510694,-0.0034301439407575887,-0.0034301439407575887,Down,0.35,Avoid,206.03793235991728,206.02379780703419,206.00966422380552
2025-05-19,628.25,642.9,627.25,640.57,6888881,META,0.0003591841834025278,-0.028497330744964744,625.423,588.844,592.9214657426094,0.029454303665719203,100.67,101.875,100.67,101.64,3008117.0,-0.0013755158184318717,0.009434899195550628,99.451,97.081,96.80049384277255,0.007387071144658822,-0.0013755158184318717,17.94,0.04060324825986106,20.092999999999996,-0.7766216703635181,0.0,0.0,0.0,0.0,0.0,-0.028497330744964744,,False,0.48510000000000003,Fresh,0.004203994,-0.23847858015070328,-1.039601478371197,0.003577710452888457,0.003577710452888457,Up,0.4,Watch,640.5929177398482,640.6387556793649,640.6845968988376
2025-05-19,132.39,135.87,132.41,135.36,154546968,NVDA,-0.00029542097488910457,0.00014777597162707323,125.848,117.20600000000002,117.66990498882518,0.02529809883399806,231.42,235.075,231.42,234.475,4678287.0,-0.0017667844522968323,0.0014735403408363545,226.32150000000001,216.99675000000002,215.51909229203005,0.015614170851426619,-0.0017667844522968323,17.94,0.04060324825986106,20.092999999999996,-0.7766216703635181,0.0,0.0,0.0,0.0,0.0,0.00014777597162707323,,False,0.3685,Fresh,-0.50275123,0.30429699562683277,-0.032228699661441124,-0.5024689093061311,-0.5024689093061311,Down,0.05,Avoid,134.67985808436325,133.32980958620203,131.99329415061837
2025-05-19,336.34,343.0,333.38,341.21,72253749,TSLA,-0.025058574775701614,-0.018609065807639324,316.879,295.50100000000003,292.2401815066383,0.03210871549993378,214.13,217.525,213.68,217.02,2388331.0,-0.0029861717278447664,0.0042108185646199114,209.467,202.79649999999998,203.02471621619182,0.016023691424851164,-0.0029861717278447664,17.94,0.04060324825986106,20.092999999999996,-0.7766216703635181,0.0,0.0,0.0,0.0,0.0,-0.018609065807639324,,False,0.24773125000000001,Fresh,-0.18302293,-0.08643820257710079,-0.17211229322634472,-0.18301639193724564,-0.18301639193724564,Down,0.15,Avoid,340.58552976907094,339.3400158642059,338.09905677671156
2025-05-19,265.23,268.31,261.93,265.19,8976013,JPM,-0.008857826281955417,-0.0016940219846408588,259.413,252.1585,248.34685814898418,0.012071387441757217,51.32,51.7699,51.24,51.645,20806865.0,0.0010660980810235365,0.013839811542991853,50.5735,49.52175,49.22443119314934,0.007145447759270193,0.0010660980810235365,17.94,0.04060324825986106,20.092999999999996,-0.7766216703635181,0.0,0.0,0.0,0.0,0.0,-0.0016940219846408588,,False,0.3530625,Fresh,0.1614657,0.1198378657698731,0.5444669443586267,0.16169551215876454,0.16169551215876454,Up,0.55,Buy,265.61880032869385,266.47848215986164,267.34094637258494
2025-05-19,44.11,45.14,44.11,44.775,25266200,BAC,0.0019019914969791163,0.0007822977201608072,43.1385,41.48675,41.43594941659697,0.013667266422352678,51.32,51.7699,51.24,51.645,20806865.0,0.0010660980810235365,0.013839811542991853,50.5735,49.52175,49.22443119314934,0.007145447759270193,0.0010660980810235365,17.94,0.04060324825986106,20.092999999999996,-0.7766216703635181,0.0,0.0,0.0,0.0,0.0,0.0007822977201608072,,False,0.8685333333333333,Fresh,-0.09336567,0.054941920954041615,0.21775983126154114,-0.09317899243622307,-0.09317899243622307,Down,0.25,Avoid,44.73327910613668,44.64995390751221,44.566783919703155
2025-05-19,363.02,369.1499,363.31,368.254,2985197,V,0.008583479404031591,0.03308646131403248,356.5484,348.2627,343.59235770725735,0.005423100053739187,51.32,51.7699,51.24,51.645,20806865.0,0.0010660980810235365,0.013839811542991853,50.5735,49.52175,49.22443119314934,0.007145447759270193,0.0010660980810235365,17.94,0.04060324825986106,20.092999999999996,-0.7766216703635181,0.0,0.0,0.0,0.0,0.0,0.03308646131403248,,False,0.6427499999999999,Fresh,0.17787719,0.16475205177074886,0.1676800191372531,0.17787107362389387,0.17787107362389387,Up,0.65,Buy,368.909017343463,370.2225493618843,371.5407583230809
